"Methedology:
1. Open ADB website 
2. What We Do > Projects & Tenders 
3. Scroll down to 'Related Documents' > All sovereign projects from 2005 onwards (xls) 
4. Click/dowload 'ADB Sovereign Projects (CSV)'",,,,,,,,,,,,,,,,,,,,,
Project ID,Name,Country ,Financing,Project Type or Modality,Status,Approval Number,Approval Date,Approval Date (with filter),ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer,Is it livestock related? ,Does it Include Necesary Documents ,Summary
49004-001,"Strengthening Results-based Planning and Delivery of Agriculture, Natural Resources and Rural Development Investments in Indonesia and Viet Nam",Regional,Sovereign,Technical Assistance,Closed,8878,19/02/2015,2/19/2015,"225,000.00",Regional,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Quincieu, Eric",,,
49004-001,"Strengthening Results-based Planning and Delivery of Agriculture, Natural Resources and Rural Development Investments in Indonesia and Viet Nam",Regional,Sovereign,Technical Assistance,Closed,8878,19/02/2015,2/19/2015,"225,000.00",Regional,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Quincieu, Eric",,,
48054-001,Heilongjiang Jiamusi Irrigation and Drainage System Modernization,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8879,27/02/2015,2/27/2015,"800,000.00",,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural drainage | Agricultural production | Irrigation | Rural water policy, institutional and capacity development | Water-based natural resources management | Urban flood protection",,,,East Asia Department,Jiamusi Municipal Government,"Kobayashi, Yoshiaki",,,
48054-001,Heilongjiang Jiamusi Irrigation and Drainage System Modernization,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8879,27/02/2015,2/27/2015,"800,000.00",,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural drainage | Agricultural production | Irrigation | Rural water policy, institutional and capacity development | Water-based natural resources management | Urban flood protection",,,,East Asia Department,Jiamusi Municipal Government,"Kobayashi, Yoshiaki",,,
48054-001,Heilongjiang Jiamusi Irrigation and Drainage System Modernization,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8879,27/02/2015,2/27/2015,"800,000.00",,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural drainage | Agricultural production | Irrigation | Rural water policy, institutional and capacity development | Water-based natural resources management | Urban flood protection",,,,East Asia Department,Jiamusi Municipal Government,"Kobayashi, Yoshiaki",,,
48054-001,Heilongjiang Jiamusi Irrigation and Drainage System Modernization,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8879,27/02/2015,2/27/2015,"800,000.00",,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural drainage | Agricultural production | Irrigation | Rural water policy, institutional and capacity development | Water-based natural resources management | Urban flood protection",,,,East Asia Department,Jiamusi Municipal Government,"Kobayashi, Yoshiaki",,,
48054-001,Heilongjiang Jiamusi Irrigation and Drainage System Modernization,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8879,27/02/2015,2/27/2015,"800,000.00",,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural drainage | Agricultural production | Irrigation | Rural water policy, institutional and capacity development | Water-based natural resources management | Urban flood protection",,,,East Asia Department,Jiamusi Municipal Government,"Kobayashi, Yoshiaki",,,
42203-023,Northern Rural Infrastructure Development Sector Project - Due Diligence of Additional Financing,Lao People's Democratic Republic,Sovereign,Technical Assistance,Closed,8882,19/03/2015,3/19/2015,"225,000.00","Khoueng Bokeo, Khoueng Oudomxai, Khoueng Phongsali, Laos, Louangnamtha","Agriculture, natural resources and rural development",Rural market infrastructure,,,,Southeast Asia Department,Ministry of Agriculture and Forestry-Irrigation Dep,"Salter, Charles David",,,
42203-023,Northern Rural Infrastructure Development Sector Project - Due Diligence of Additional Financing,Lao People's Democratic Republic,Sovereign,Technical Assistance,Closed,8882,19/03/2015,3/19/2015,"225,000.00","Khoueng Bokeo, Khoueng Oudomxai, Khoueng Phongsali, Laos, Louangnamtha","Agriculture, natural resources and rural development",Rural market infrastructure,,,,Southeast Asia Department,Ministry of Agriculture and Forestry-Irrigation Dep,"Salter, Charles David",,,
42203-023,Northern Rural Infrastructure Development Sector Project - Due Diligence of Additional Financing,Lao People's Democratic Republic,Sovereign,Technical Assistance,Closed,8882,19/03/2015,3/19/2015,"225,000.00","Khoueng Bokeo, Khoueng Oudomxai, Khoueng Phongsali, Laos, Louangnamtha","Agriculture, natural resources and rural development",Rural market infrastructure,,,,Southeast Asia Department,Ministry of Agriculture and Forestry-Irrigation Dep,"Salter, Charles David",,,
