"Methedology:
1. Open ADB website 
2. What We Do > Projects & Tenders 
3. Scroll down to 'Related Documents' > All sovereign projects from 2005 onwards (xls) 
4. Click/dowload 'ADB Sovereign Projects (CSV)'",,,,,,,,,,,,,,,,,,,,,
Project ID,Name,Country ,Financing,Project Type or Modality,Status,Approval Number,Approval Date,Approval Date (with filter),ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer,Is it livestock related? ,Does it Include Necesary Documents ,Summary
49029-002,Xinjiang Changji Integrated Urban-Rural Infrastructure Demonstration Project,"China, People's Republic of",Sovereign,Loan,Closed,3568,25/09/2017,9/25/2017,"150,000,000.00","Fukang Shi, Hutubi Xian, Qitai Xian","Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Forestry | Land-based natural resources management | Technical and vocational education and training | Energy utility services | Urban roads and traffic management | Other urban services | Urban policy, institutional and capacity development | Urban sewerage | Urban solid waste management | Urban water supply",B,B,A,East Asia Department,XUAR Finance Bureau,"Liu, Xinjian",,,
41435-013,Tonle Sap Poverty Reduction and Smallholder Development Project - Additional Financing (TSSD- AF),Cambodia,Sovereign,Loan,Active,0186 | 0191 | 0192 | 0542 | 2599 | 3570 | 8243 | 8331,25/09/2017,9/25/2017,"80,700,000.00","Kampong Cham, Kampong Cham, Siem Reap, Siem Reap, Sisophon, Sisophon, Stueng Saen, Stueng Saen","Agriculture, natural resources and rural development | Finance","Agricultural policy, institutional and capacity development | Agricultural production | Rural market infrastructure | Inclusive finance",B,B,B,Sectors Group,"Ministry of Agriculture, Forestry & Fisheries","Hem, Chanthou",,,
50367-001,Sharing Development Knowledge Solutions in Asia and the Pacific,Regional,Sovereign,Technical Assistance,Closed,9388,26/09/2017,9/26/2017,"805,000.00",Bangladesh - Nation-wide; Cambodia - Nation-wide; China - Nation-wide; Georgia - Nation-wide; India - Nation-wide; Indonesia - Nation-wide; Nepal - Nation-wide; Pakistan - Nation-wide; Papua New Guinea - Nation-wide; Philippines - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Finance | Health | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Technical and vocational education and training | Energy sector development and institutional reform | Renewable energy generation - solar | Inclusive finance | Health sector development and reform | Health system development | Public administration | Social protection initiatives | Multimodal logistics | Urban public transport | Urban policy, institutional and capacity development | Urban solid waste management",,,,Department of Communications and Knowledge Management,Asian Development Bank,"Kang, Young Uck",,,
51173-001,Second Support for Infrastructure Investments and Policy,Afghanistan,Sovereign,Technical Assistance,Closed,9396,26/09/2017,9/26/2017,"2,275,000.00",Nation-wide,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport","Agricultural policy, institutional and capacity development | Energy sector development and institutional reform | Economic affairs management | Public expenditure and fiscal management | Transport policies and institutional development",,,,Central and West Asia Department,,ADB Disclosure,,,
50367-001,Sharing Development Knowledge Solutions in Asia and the Pacific,Regional,Sovereign,Technical Assistance,Closed,9388,26/09/2017,9/26/2017,"805,000.00",Bangladesh - Nation-wide; Cambodia - Nation-wide; China - Nation-wide; Georgia - Nation-wide; India - Nation-wide; Indonesia - Nation-wide; Nepal - Nation-wide; Pakistan - Nation-wide; Papua New Guinea - Nation-wide; Philippines - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Finance | Health | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Technical and vocational education and training | Energy sector development and institutional reform | Renewable energy generation - solar | Inclusive finance | Health sector development and reform | Health system development | Public administration | Social protection initiatives | Multimodal logistics | Urban public transport | Urban policy, institutional and capacity development | Urban solid waste management",,,,Department of Communications and Knowledge Management,Asian Development Bank,"Kang, Young Uck",,,
51173-001,Second Support for Infrastructure Investments and Policy,Afghanistan,Sovereign,Technical Assistance,Closed,9396,26/09/2017,9/26/2017,"2,275,000.00",Nation-wide,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport","Agricultural policy, institutional and capacity development | Energy sector development and institutional reform | Economic affairs management | Public expenditure and fiscal management | Transport policies and institutional development",,,,Central and West Asia Department,,ADB Disclosure,,,
50367-001,Sharing Development Knowledge Solutions in Asia and the Pacific,Regional,Sovereign,Technical Assistance,Closed,9388,26/09/2017,9/26/2017,"805,000.00",Bangladesh - Nation-wide; Cambodia - Nation-wide; China - Nation-wide; Georgia - Nation-wide; India - Nation-wide; Indonesia - Nation-wide; Nepal - Nation-wide; Pakistan - Nation-wide; Papua New Guinea - Nation-wide; Philippines - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Finance | Health | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Technical and vocational education and training | Energy sector development and institutional reform | Renewable energy generation - solar | Inclusive finance | Health sector development and reform | Health system development | Public administration | Social protection initiatives | Multimodal logistics | Urban public transport | Urban policy, institutional and capacity development | Urban solid waste management",,,,Department of Communications and Knowledge Management,Asian Development Bank,"Kang, Young Uck",,,
51173-001,Second Support for Infrastructure Investments and Policy,Afghanistan,Sovereign,Technical Assistance,Closed,9396,26/09/2017,9/26/2017,"2,275,000.00",Nation-wide,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport","Agricultural policy, institutional and capacity development | Energy sector development and institutional reform | Economic affairs management | Public expenditure and fiscal management | Transport policies and institutional development",,,,Central and West Asia Department,,ADB Disclosure,,,
50367-001,Sharing Development Knowledge Solutions in Asia and the Pacific,Regional,Sovereign,Technical Assistance,Closed,9388,26/09/2017,9/26/2017,"805,000.00",Bangladesh - Nation-wide; Cambodia - Nation-wide; China - Nation-wide; Georgia - Nation-wide; India - Nation-wide; Indonesia - Nation-wide; Nepal - Nation-wide; Pakistan - Nation-wide; Papua New Guinea - Nation-wide; Philippines - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Finance | Health | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Technical and vocational education and training | Energy sector development and institutional reform | Renewable energy generation - solar | Inclusive finance | Health sector development and reform | Health system development | Public administration | Social protection initiatives | Multimodal logistics | Urban public transport | Urban policy, institutional and capacity development | Urban solid waste management",,,,Department of Communications and Knowledge Management,Asian Development Bank,"Kang, Young Uck",,,
51173-001,Second Support for Infrastructure Investments and Policy,Afghanistan,Sovereign,Technical Assistance,Closed,9396,26/09/2017,9/26/2017,"2,275,000.00",Nation-wide,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport","Agricultural policy, institutional and capacity development | Energy sector development and institutional reform | Economic affairs management | Public expenditure and fiscal management | Transport policies and institutional development",,,,Central and West Asia Department,,ADB Disclosure,,,
50367-001,Sharing Development Knowledge Solutions in Asia and the Pacific,Regional,Sovereign,Technical Assistance,Closed,9388,26/09/2017,9/26/2017,"805,000.00",Bangladesh - Nation-wide; Cambodia - Nation-wide; China - Nation-wide; Georgia - Nation-wide; India - Nation-wide; Indonesia - Nation-wide; Nepal - Nation-wide; Pakistan - Nation-wide; Papua New Guinea - Nation-wide; Philippines - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Finance | Health | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Technical and vocational education and training | Energy sector development and institutional reform | Renewable energy generation - solar | Inclusive finance | Health sector development and reform | Health system development | Public administration | Social protection initiatives | Multimodal logistics | Urban public transport | Urban policy, institutional and capacity development | Urban solid waste management",,,,Department of Communications and Knowledge Management,Asian Development Bank,"Kang, Young Uck",,,
51173-001,Second Support for Infrastructure Investments and Policy,Afghanistan,Sovereign,Technical Assistance,Closed,9396,26/09/2017,9/26/2017,"2,275,000.00",Nation-wide,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport","Agricultural policy, institutional and capacity development | Energy sector development and institutional reform | Economic affairs management | Public expenditure and fiscal management | Transport policies and institutional development",,,,Central and West Asia Department,,ADB Disclosure,,,
38301-013,Dryland Sustainable Agriculture Project,"China, People's Republic of",Sovereign,Grant | Loan,Closed,2474,25/11/2008,11/25/2008,"83,000,000.00","Anyang Xian, Boxing Xian, Changge Shi, Dancheng Xian, Gangu Xian, Gaomi Shi, Jiaozuo Shi, Linshu Xian, Linying Xian, Luoyang Shi, Luyi Xian, Maiji Qu, Qin'an Xian, Qingshui Xian, Qingzhou Shi, Qinzhou Qu, Ruzhou Shi, Shan Xian, Tancheng Xian, Wudi Xian, Wushan Xian, Xuchang Xian, Yishui Xian, Zhangjiachuan Huizu Zizhixian, Zhecheng Xian, Zhengzhou, Zhucheng Shi","Agriculture, natural resources and rural development","Agricultural production | Agro-industry, marketing, and trade",B,B,C,East Asia Department,Gansu Provincial Government,"Hinrichs, Jan F.",,,
38301-013,Dryland Sustainable Agriculture Project,"China, People's Republic of",Sovereign,Grant | Loan,Closed,2474,25/11/2008,11/25/2008,"83,000,000.00","Anyang Xian, Boxing Xian, Changge Shi, Dancheng Xian, Gangu Xian, Gaomi Shi, Jiaozuo Shi, Linshu Xian, Linying Xian, Luoyang Shi, Luyi Xian, Maiji Qu, Qin'an Xian, Qingshui Xian, Qingzhou Shi, Qinzhou Qu, Ruzhou Shi, Shan Xian, Tancheng Xian, Wudi Xian, Wushan Xian, Xuchang Xian, Yishui Xian, Zhangjiachuan Huizu Zizhixian, Zhecheng Xian, Zhengzhou, Zhucheng Shi","Agriculture, natural resources and rural development","Agricultural production | Agro-industry, marketing, and trade",B,B,C,East Asia Department,Gansu Provincial Government,"Hinrichs, Jan F.",,,
38301-013,Dryland Sustainable Agriculture Project,"China, People's Republic of",Sovereign,Grant | Loan,Closed,2474,25/11/2008,11/25/2008,"83,000,000.00","Anyang Xian, Boxing Xian, Changge Shi, Dancheng Xian, Gangu Xian, Gaomi Shi, Jiaozuo Shi, Linshu Xian, Linying Xian, Luoyang Shi, Luyi Xian, Maiji Qu, Qin'an Xian, Qingshui Xian, Qingzhou Shi, Qinzhou Qu, Ruzhou Shi, Shan Xian, Tancheng Xian, Wudi Xian, Wushan Xian, Xuchang Xian, Yishui Xian, Zhangjiachuan Huizu Zizhixian, Zhecheng Xian, Zhengzhou, Zhucheng Shi","Agriculture, natural resources and rural development","Agricultural production | Agro-industry, marketing, and trade",B,B,C,East Asia Department,Gansu Provincial Government,"Hinrichs, Jan F.",,,
38301-013,Dryland Sustainable Agriculture Project,"China, People's Republic of",Sovereign,Grant | Loan,Closed,2474,25/11/2008,11/25/2008,"83,000,000.00","Anyang Xian, Boxing Xian, Changge Shi, Dancheng Xian, Gangu Xian, Gaomi Shi, Jiaozuo Shi, Linshu Xian, Linying Xian, Luoyang Shi, Luyi Xian, Maiji Qu, Qin'an Xian, Qingshui Xian, Qingzhou Shi, Qinzhou Qu, Ruzhou Shi, Shan Xian, Tancheng Xian, Wudi Xian, Wushan Xian, Xuchang Xian, Yishui Xian, Zhangjiachuan Huizu Zizhixian, Zhecheng Xian, Zhengzhou, Zhucheng Shi","Agriculture, natural resources and rural development","Agricultural production | Agro-industry, marketing, and trade",B,B,C,East Asia Department,Gansu Provincial Government,"Hinrichs, Jan F.",,,
38301-013,Dryland Sustainable Agriculture Project,"China, People's Republic of",Sovereign,Grant | Loan,Closed,2474,25/11/2008,11/25/2008,"83,000,000.00","Anyang Xian, Boxing Xian, Changge Shi, Dancheng Xian, Gangu Xian, Gaomi Shi, Jiaozuo Shi, Linshu Xian, Linying Xian, Luoyang Shi, Luyi Xian, Maiji Qu, Qin'an Xian, Qingshui Xian, Qingzhou Shi, Qinzhou Qu, Ruzhou Shi, Shan Xian, Tancheng Xian, Wudi Xian, Wushan Xian, Xuchang Xian, Yishui Xian, Zhangjiachuan Huizu Zizhixian, Zhecheng Xian, Zhengzhou, Zhucheng Shi","Agriculture, natural resources and rural development","Agricultural production | Agro-industry, marketing, and trade",B,B,C,East Asia Department,Gansu Provincial Government,"Hinrichs, Jan F.",,,
38555-012,Evaluation of Environmental Policy and Investment for Water Pollution Control in the Huai River Basin and the Taihu Lake Basin,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4447,25/11/2004,11/25/2004,"500,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,East Asia Department,State Environment Protection Administration,Bruce Carrad,,,
38555-012,Evaluation of Environmental Policy and Investment for Water Pollution Control in the Huai River Basin and the Taihu Lake Basin,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4447,25/11/2004,11/25/2004,"500,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,East Asia Department,State Environment Protection Administration,Bruce Carrad,,,
38555-012,Evaluation of Environmental Policy and Investment for Water Pollution Control in the Huai River Basin and the Taihu Lake Basin,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4447,25/11/2004,11/25/2004,"500,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,East Asia Department,State Environment Protection Administration,Bruce Carrad,,,
38555-012,Evaluation of Environmental Policy and Investment for Water Pollution Control in the Huai River Basin and the Taihu Lake Basin,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4447,25/11/2004,11/25/2004,"500,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,East Asia Department,State Environment Protection Administration,Bruce Carrad,,,
38555-012,Evaluation of Environmental Policy and Investment for Water Pollution Control in the Huai River Basin and the Taihu Lake Basin,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4447,25/11/2004,11/25/2004,"500,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,East Asia Department,State Environment Protection Administration,Bruce Carrad,,,
34038-013,Jamuna-Meghna River Erosion Mitigation Project,Bangladesh,Sovereign,Loan,Closed,1941,25/11/2002,11/25/2002,"41,170,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,A,,A,South Asia Department,Bangladesh Water Development Board,"Ahmad, Zahir U.",,,
34038-013,Jamuna-Meghna River Erosion Mitigation Project,Bangladesh,Sovereign,Loan,Closed,1941,25/11/2002,11/25/2002,"41,170,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,A,,A,South Asia Department,Bangladesh Water Development Board,"Ahmad, Zahir U.",,,
34038-013,Jamuna-Meghna River Erosion Mitigation Project,Bangladesh,Sovereign,Loan,Closed,1941,25/11/2002,11/25/2002,"41,170,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,A,,A,South Asia Department,Bangladesh Water Development Board,"Ahmad, Zahir U.",,,
34038-013,Jamuna-Meghna River Erosion Mitigation Project,Bangladesh,Sovereign,Loan,Closed,1941,25/11/2002,11/25/2002,"41,170,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,A,,A,South Asia Department,Bangladesh Water Development Board,"Ahmad, Zahir U.",,,
34038-013,Jamuna-Meghna River Erosion Mitigation Project,Bangladesh,Sovereign,Loan,Closed,1941,25/11/2002,11/25/2002,"41,170,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,A,,A,South Asia Department,Bangladesh Water Development Board,"Ahmad, Zahir U.",,,
51081-001,Climate Resilience and Disaster Risk Reduction in Water Resources Management,Kyrgyz Republic,Sovereign,Technical Assistance,Closed,9390,27/09/2017,9/27/2017,0,,"Agriculture, natural resources and rural development",Agricultural production | Rural flood protection | Water-based natural resources management,,,,Central and West Asia Department,"Ministry of Agri,Food Industry & Melioration","Rive, Nathan A.",,,
51158-001,Leveraging Information and Communication Technology for Irrigated Agricultural Information,Indonesia,Sovereign,Technical Assistance,Closed,9391,27/09/2017,9/27/2017,0,Nation-wide,"Agriculture, natural resources and rural development",Irrigation,,,,Southeast Asia Department,Ministry of Public Works & Housing,"Aji, Priasto",,,
51081-001,Climate Resilience and Disaster Risk Reduction in Water Resources Management,Kyrgyz Republic,Sovereign,Technical Assistance,Closed,9390,27/09/2017,9/27/2017,0,,"Agriculture, natural resources and rural development",Agricultural production | Rural flood protection | Water-based natural resources management,,,,Central and West Asia Department,"Ministry of Agri,Food Industry & Melioration","Rive, Nathan A.",,,
51158-001,Leveraging Information and Communication Technology for Irrigated Agricultural Information,Indonesia,Sovereign,Technical Assistance,Closed,9391,27/09/2017,9/27/2017,0,Nation-wide,"Agriculture, natural resources and rural development",Irrigation,,,,Southeast Asia Department,Ministry of Public Works & Housing,"Aji, Priasto",,,
51081-001,Climate Resilience and Disaster Risk Reduction in Water Resources Management,Kyrgyz Republic,Sovereign,Technical Assistance,Closed,9390,27/09/2017,9/27/2017,0,,"Agriculture, natural resources and rural development",Agricultural production | Rural flood protection | Water-based natural resources management,,,,Central and West Asia Department,"Ministry of Agri,Food Industry & Melioration","Rive, Nathan A.",,,
51158-001,Leveraging Information and Communication Technology for Irrigated Agricultural Information,Indonesia,Sovereign,Technical Assistance,Closed,9391,27/09/2017,9/27/2017,0,Nation-wide,"Agriculture, natural resources and rural development",Irrigation,,,,Southeast Asia Department,Ministry of Public Works & Housing,"Aji, Priasto",,,
51081-001,Climate Resilience and Disaster Risk Reduction in Water Resources Management,Kyrgyz Republic,Sovereign,Technical Assistance,Closed,9390,27/09/2017,9/27/2017,0,,"Agriculture, natural resources and rural development",Agricultural production | Rural flood protection | Water-based natural resources management,,,,Central and West Asia Department,"Ministry of Agri,Food Industry & Melioration","Rive, Nathan A.",,,
51158-001,Leveraging Information and Communication Technology for Irrigated Agricultural Information,Indonesia,Sovereign,Technical Assistance,Closed,9391,27/09/2017,9/27/2017,0,Nation-wide,"Agriculture, natural resources and rural development",Irrigation,,,,Southeast Asia Department,Ministry of Public Works & Housing,"Aji, Priasto",,,
51081-001,Climate Resilience and Disaster Risk Reduction in Water Resources Management,Kyrgyz Republic,Sovereign,Technical Assistance,Closed,9390,27/09/2017,9/27/2017,0,,"Agriculture, natural resources and rural development",Agricultural production | Rural flood protection | Water-based natural resources management,,,,Central and West Asia Department,"Ministry of Agri,Food Industry & Melioration","Rive, Nathan A.",,,
51158-001,Leveraging Information and Communication Technology for Irrigated Agricultural Information,Indonesia,Sovereign,Technical Assistance,Closed,9391,27/09/2017,9/27/2017,0,Nation-wide,"Agriculture, natural resources and rural development",Irrigation,,,,Southeast Asia Department,Ministry of Public Works & Housing,"Aji, Priasto",,,
51020-001,Preparing Regional Cooperation and Integration Projects,"China, People's Republic of",Sovereign,Technical Assistance,Closed,9373,06/10/2017,10/6/2017,"2,000,000.00","Inner Mongolia, Lincang, Xinjiang","Agriculture, natural resources and rural development | Education | Industry and trade | Transport | Water and other urban infrastructure and services",Forestry | Pre-primary and primary - social protection initiatives | Secondary | Small and medium enterprise development | Trade and services | Multimodal logistics | Rail transport (non-urban) | Road transport (non-urban) | Other urban services | Urban sewerage | Urban water supply,,,,East Asia Department,Ministry of Finance,"Karimova, Zulfia K.",,,
51020-001,Preparing Regional Cooperation and Integration Projects,"China, People's Republic of",Sovereign,Technical Assistance,Closed,9373,06/10/2017,10/6/2017,"2,000,000.00","Inner Mongolia, Lincang, Xinjiang","Agriculture, natural resources and rural development | Education | Industry and trade | Transport | Water and other urban infrastructure and services",Forestry | Pre-primary and primary - social protection initiatives | Secondary | Small and medium enterprise development | Trade and services | Multimodal logistics | Rail transport (non-urban) | Road transport (non-urban) | Other urban services | Urban sewerage | Urban water supply,,,,East Asia Department,Ministry of Finance,"Karimova, Zulfia K.",,,
51020-001,Preparing Regional Cooperation and Integration Projects,"China, People's Republic of",Sovereign,Technical Assistance,Closed,9373,06/10/2017,10/6/2017,"2,000,000.00","Inner Mongolia, Lincang, Xinjiang","Agriculture, natural resources and rural development | Education | Industry and trade | Transport | Water and other urban infrastructure and services",Forestry | Pre-primary and primary - social protection initiatives | Secondary | Small and medium enterprise development | Trade and services | Multimodal logistics | Rail transport (non-urban) | Road transport (non-urban) | Other urban services | Urban sewerage | Urban water supply,,,,East Asia Department,Ministry of Finance,"Karimova, Zulfia K.",,,
51020-001,Preparing Regional Cooperation and Integration Projects,"China, People's Republic of",Sovereign,Technical Assistance,Closed,9373,06/10/2017,10/6/2017,"2,000,000.00","Inner Mongolia, Lincang, Xinjiang","Agriculture, natural resources and rural development | Education | Industry and trade | Transport | Water and other urban infrastructure and services",Forestry | Pre-primary and primary - social protection initiatives | Secondary | Small and medium enterprise development | Trade and services | Multimodal logistics | Rail transport (non-urban) | Road transport (non-urban) | Other urban services | Urban sewerage | Urban water supply,,,,East Asia Department,Ministry of Finance,"Karimova, Zulfia K.",,,
51020-001,Preparing Regional Cooperation and Integration Projects,"China, People's Republic of",Sovereign,Technical Assistance,Closed,9373,06/10/2017,10/6/2017,"2,000,000.00","Inner Mongolia, Lincang, Xinjiang","Agriculture, natural resources and rural development | Education | Industry and trade | Transport | Water and other urban infrastructure and services",Forestry | Pre-primary and primary - social protection initiatives | Secondary | Small and medium enterprise development | Trade and services | Multimodal logistics | Rail transport (non-urban) | Road transport (non-urban) | Other urban services | Urban sewerage | Urban water supply,,,,East Asia Department,Ministry of Finance,"Karimova, Zulfia K.",,,
51020-001,Preparing Regional Cooperation and Integration Projects,"China, People's Republic of",Sovereign,Technical Assistance,Closed,9373,06/10/2017,10/6/2017,"2,000,000.00","Inner Mongolia, Lincang, Xinjiang","Agriculture, natural resources and rural development | Education | Industry and trade | Transport | Water and other urban infrastructure and services",Forestry | Pre-primary and primary - social protection initiatives | Secondary | Small and medium enterprise development | Trade and services | Multimodal logistics | Rail transport (non-urban) | Road transport (non-urban) | Other urban services | Urban sewerage | Urban water supply,,,,East Asia Department,Ministry of Finance,"Karimova, Zulfia K.",,,
51242-001,Resilient Communities Development Project,Myanmar,Sovereign,Technical Assistance,Closed,9413,26/10/2017,10/26/2017,"1,200,000.00",,"Agriculture, natural resources and rural development",Irrigation | Rural flood protection | Rural market infrastructure | Rural water supply services,B,A,B,Southeast Asia Department,Department of Rural Development,"Dina, Stefania",,,
51242-001,Resilient Communities Development Project,Myanmar,Sovereign,Technical Assistance,Closed,9413,26/10/2017,10/26/2017,"1,200,000.00",,"Agriculture, natural resources and rural development",Irrigation | Rural flood protection | Rural market infrastructure | Rural water supply services,B,A,B,Southeast Asia Department,Department of Rural Development,"Dina, Stefania",,,
51242-001,Resilient Communities Development Project,Myanmar,Sovereign,Technical Assistance,Closed,9413,26/10/2017,10/26/2017,"1,200,000.00",,"Agriculture, natural resources and rural development",Irrigation | Rural flood protection | Rural market infrastructure | Rural water supply services,B,A,B,Southeast Asia Department,Department of Rural Development,"Dina, Stefania",,,
51242-001,Resilient Communities Development Project,Myanmar,Sovereign,Technical Assistance,Closed,9413,26/10/2017,10/26/2017,"1,200,000.00",,"Agriculture, natural resources and rural development",Irrigation | Rural flood protection | Rural market infrastructure | Rural water supply services,B,A,B,Southeast Asia Department,Department of Rural Development,"Dina, Stefania",,,
46441-001,Climate Resilience and Green Growth in Critical Watersheds,Philippines,Sovereign,Technical Assistance,Closed,8493,25/10/2013,10/25/2013,0,,"Agriculture, natural resources and rural development | Energy | Information and communication technology | Transport | Water and other urban infrastructure and services","Agricultural production | Forestry | Irrigation | Land-based natural resources management | Energy efficiency and conservation | Energy sector development and institutional reform | ICT industries and ICT-enabled services | Road transport (non-urban) | Water transport (non-urban) | Urban policy, institutional and capacity development | Urban solid waste management | Urban water supply",,,,Southeast Asia Department,Asian Development Bank,"Ancha, Srinivasan",,,
46078-002,Anhui Huainan Urban Water Systems Integrated Rehabilitation Project,"China, People's Republic of",Sovereign,Loan | Technical Assistance,Closed,3054 | 8491,25/10/2013,10/25/2013,"150,000,000.00","Bagongshan Qu, Chao Lake, Dajiang, Gaotang Hu, Huainan, Huainan Shi, Qinglong Hu, Shijian Lake","Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Water-based natural resources management | Urban flood protection | Urban sewerage,A,C,A,East Asia Department,Anhui Provincial Finance Department,"Zheng, Baochang",,,
46441-001,Climate Resilience and Green Growth in Critical Watersheds,Philippines,Sovereign,Technical Assistance,Closed,8493,25/10/2013,10/25/2013,0,,"Agriculture, natural resources and rural development | Energy | Information and communication technology | Transport | Water and other urban infrastructure and services","Agricultural production | Forestry | Irrigation | Land-based natural resources management | Energy efficiency and conservation | Energy sector development and institutional reform | ICT industries and ICT-enabled services | Road transport (non-urban) | Water transport (non-urban) | Urban policy, institutional and capacity development | Urban solid waste management | Urban water supply",,,,Southeast Asia Department,Asian Development Bank,"Ancha, Srinivasan",,,
46078-002,Anhui Huainan Urban Water Systems Integrated Rehabilitation Project,"China, People's Republic of",Sovereign,Loan | Technical Assistance,Closed,3054 | 8491,25/10/2013,10/25/2013,"150,000,000.00","Bagongshan Qu, Chao Lake, Dajiang, Gaotang Hu, Huainan, Huainan Shi, Qinglong Hu, Shijian Lake","Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Water-based natural resources management | Urban flood protection | Urban sewerage,A,C,A,East Asia Department,Anhui Provincial Finance Department,"Zheng, Baochang",,,
46441-001,Climate Resilience and Green Growth in Critical Watersheds,Philippines,Sovereign,Technical Assistance,Closed,8493,25/10/2013,10/25/2013,0,,"Agriculture, natural resources and rural development | Energy | Information and communication technology | Transport | Water and other urban infrastructure and services","Agricultural production | Forestry | Irrigation | Land-based natural resources management | Energy efficiency and conservation | Energy sector development and institutional reform | ICT industries and ICT-enabled services | Road transport (non-urban) | Water transport (non-urban) | Urban policy, institutional and capacity development | Urban solid waste management | Urban water supply",,,,Southeast Asia Department,Asian Development Bank,"Ancha, Srinivasan",,,
46078-002,Anhui Huainan Urban Water Systems Integrated Rehabilitation Project,"China, People's Republic of",Sovereign,Loan | Technical Assistance,Closed,3054 | 8491,25/10/2013,10/25/2013,"150,000,000.00","Bagongshan Qu, Chao Lake, Dajiang, Gaotang Hu, Huainan, Huainan Shi, Qinglong Hu, Shijian Lake","Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Water-based natural resources management | Urban flood protection | Urban sewerage,A,C,A,East Asia Department,Anhui Provincial Finance Department,"Zheng, Baochang",,,
46441-001,Climate Resilience and Green Growth in Critical Watersheds,Philippines,Sovereign,Technical Assistance,Closed,8493,25/10/2013,10/25/2013,0,,"Agriculture, natural resources and rural development | Energy | Information and communication technology | Transport | Water and other urban infrastructure and services","Agricultural production | Forestry | Irrigation | Land-based natural resources management | Energy efficiency and conservation | Energy sector development and institutional reform | ICT industries and ICT-enabled services | Road transport (non-urban) | Water transport (non-urban) | Urban policy, institutional and capacity development | Urban solid waste management | Urban water supply",,,,Southeast Asia Department,Asian Development Bank,"Ancha, Srinivasan",,,
46078-002,Anhui Huainan Urban Water Systems Integrated Rehabilitation Project,"China, People's Republic of",Sovereign,Loan | Technical Assistance,Closed,3054 | 8491,25/10/2013,10/25/2013,"150,000,000.00","Bagongshan Qu, Chao Lake, Dajiang, Gaotang Hu, Huainan, Huainan Shi, Qinglong Hu, Shijian Lake","Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Water-based natural resources management | Urban flood protection | Urban sewerage,A,C,A,East Asia Department,Anhui Provincial Finance Department,"Zheng, Baochang",,,
46441-001,Climate Resilience and Green Growth in Critical Watersheds,Philippines,Sovereign,Technical Assistance,Closed,8493,25/10/2013,10/25/2013,0,,"Agriculture, natural resources and rural development | Energy | Information and communication technology | Transport | Water and other urban infrastructure and services","Agricultural production | Forestry | Irrigation | Land-based natural resources management | Energy efficiency and conservation | Energy sector development and institutional reform | ICT industries and ICT-enabled services | Road transport (non-urban) | Water transport (non-urban) | Urban policy, institutional and capacity development | Urban solid waste management | Urban water supply",,,,Southeast Asia Department,Asian Development Bank,"Ancha, Srinivasan",,,
